Index,Age,SES,PA,Protein,Sodium,Fat,Energy,BMI,Gender,Year,Age1,Age2,Age3
1,34,-0.166983315,2909.300102,77.57301262,1.884895444,85.33530793,3037.621029,23.64710236,1,2017,34,1156,39304
2,81,0.432650513,778.6849342,188.2966173,5.619633137,275.1061018,6843.787411,30.98611297,1,2017,81,6561,531441
3,36,0.164151201,430.7623382,122.7915954,3.245897571,165.231757,4086.116859,28.93473827,1,2017,36,1296,46656
4,48,-0.523695624,7800.498815,131.7313226,2.860251126,168.4564408,3582.493261,29.12157741,1,2017,48,2304,110592
5,54,-1.278631499,773.6808513,162.1295836,5.831472034,234.7811223,4763.393215,37.4734243,1,2017,54,2916,157464
6,60,-0.100862294,3948.742484,134.4903109,2.874622337,169.3809939,3665.408821,30.41439862,1,2017,60,3600,216000
7,54,-0.605732386,2261.730944,114.6011684,5.592707992,322.2514899,5782.207029,22.72486358,1,2016,54,2916,157464
8,31,1.75280221,537.795824,124.4093467,3.360253264,103.192916,3990.581391,27.40550918,1,2017,31,961,29791
9,71,-0.287183767,9512.867239,153.0807733,5.635042475,184.8456572,5568.770621,36.2799101,1,2016,71,5041,357911
10,45,-1.663265531,400,92.29442746,2.677491913,103.192916,3954.118367,30.48909508,1,2017,45,2025,91125
11,50,2.829368905,1142.136682,91.3383595,3.49177887,167.6682582,3743.539682,27.15314262,1,2017,50,2500,125000
12,73,0.39663585,400,160.7676723,3.070645328,244.2937468,5022.462086,26.21205822,1,2016,73,5329,389017
13,36,0.866008785,1905.519621,244.2236232,6.991980831,344.5526059,7824.544039,22.69490707,1,2017,36,1296,46656
14,71,-0.945809911,3888.905554,92.81117612,3.740523835,127.6411806,3845.773768,39.04289563,1,2016,71,5041,357911
15,29,-1.711864741,2070.106325,141.1039799,5.388576951,256.0911931,5084.618894,24.421147,1,2017,29,841,24389
16,44,-0.993129819,431.9392952,190.0585081,4.041638827,333.709636,6207.983541,25.93650267,1,2017,44,1936,85184
17,39,-0.248178252,400,144.844633,5.7535621,187.4297884,4807.57187,31.90033285,1,2017,39,1521,59319
